PID,POS,X,Y,block
34,65,-129.329681396484,53.2695249672564,34
34,66,-129.321441650391,53.2705515784024,34
34,67,-129.315948486328,53.2723994163446,34
34,68,-129.312171936035,53.2709622159585,34
34,69,-129.309425354004,53.27404187191,34
34,70,-129.314575195312,53.2742471744186,34
34,71,-129.314575195312,53.2773265937279,34
34,72,-129.307022094727,53.2773265937279,34
34,73,-129.307022094727,53.2820479391329,34
34,74,-129.314231872559,53.2816374080634,34
34,75,-129.325904846191,53.2763001452746,34
34,76,-129.322814941406,53.2828689894407,34
34,77,-129.325904846191,53.2847162949572,34
34,78,-129.326248168945,53.286358277264,34
34,79,-129.331398010254,53.2838952801423,34
34,80,-129.342727661133,53.2828689894407,34
34,81,-129.34684753418,53.2847162949572,34
34,82,-129.353713989258,53.2851267964493,34
34,83,-129.366416931152,53.2843057895216,34
34,84,-129.367790222168,53.2861530329262,34
34,85,-129.368476867676,53.2990815008548,34
34,86,-129.358177185059,53.3011332788075,34
34,87,-129.35302734375,53.3033901207035,34
34,88,-129.342384338379,53.3007229311029,34
34,89,-129.334487915039,53.3029797946848,34
34,90,-129.333801269531,53.3052365389954,34
34,91,-129.27921295166,53.3052365389954,34
34,92,-129.276809692383,53.2999022238648,34
34,93,-129.270286560059,53.2980555749128,34
34,94,-129.270973205566,53.2929255755359,34
34,95,-129.267883300781,53.2875897225868,34
34,96,-129.266510009766,53.2804057911925,34
34,97,-129.260330200195,53.2760948526259,34
34,98,-129.262733459473,53.2713728495705,34
34,99,-129.257926940918,53.2682930013412,34
34,100,-129.263763427734,53.2639808410847,34
34,101,-129.272003173828,53.2592574999252,34
34,102,-129.279556274414,53.2535066413485,34
34,103,-129.284706115723,53.2485767185975,34
34,104,-129.288482666016,53.2461115441895,34
34,105,-129.289855957031,53.242824424048,34
34,106,-129.296379089355,53.2411807692903,34
34,107,-129.300155639648,53.2372768362409,34
34,108,-129.302558898926,53.2339890374858,34
34,109,-129.305648803711,53.2344000261399,34
34,110,-129.305305480957,53.2387151687918,34
34,111,-129.314231872559,53.2329615485883,34
34,112,-129.364700317383,53.2325505461242,34
35,1,-129.400405883789,53.3056468433287,39
35,2,-129.396286010742,53.3074931640374,39
35,3,-129.391479492188,53.3081085865315,39
35,4,-129.391822814941,53.3101599307776,39
35,5,-129.386672973633,53.3138521020408,39
35,6,-129.385299682617,53.3206202533147,39
35,7,-129.386329650879,53.3243115198272,39
35,8,-129.393196105957,53.317543953969,39
35,9,-129.394912719727,53.321645637153,39
35,10,-129.399032592773,53.3230811331348,39
35,11,-129.399032592773,53.318569411723,39
35,12,-129.403839111328,53.3161082717196,39
35,13,-129.405555725098,53.3200050111854,39
35,14,-129.401779174805,53.3230811331348,39
35,15,-129.397659301758,53.3253368149697,39
35,16,-129.395599365234,53.3230811331348,39
35,17,-129.392166137695,53.3247216408407,39
35,18,-129.396629333496,53.3273873313438,39
35,19,-129.396286010742,53.3335382891966,39
35,20,-129.399719238281,53.3384584169373,39
35,21,-129.401092529297,53.3409182679704,39
35,22,-129.405212402344,53.3390733929976,39
35,23,-129.40315246582,53.3450177043905,39
35,24,-129.410705566406,53.3419431640244,39
35,25,-129.423065185547,53.3507562532735,39
35,26,-129.43920135498,53.3554694834497,39
35,27,-129.451560974121,53.360591968625,39
35,28,-129.454650878906,53.3646895134594,39
35,29,-129.45671081543,53.3683769669131,39
35,30,-129.461517333984,53.3683769669131,39
35,31,-129.466323852539,53.3653041111989,39
35,32,-129.465980529785,53.3630505428103,39
35,33,-129.45671081543,53.3579283531753,39
